English,Hindi
"The Assembly of the Republic shall verify Members' credentials, in accordance with the respective Rules of Procedure.","संसद निर्वाचन सदस्यों की पहचान की जांच करेगी, संबंधित नियम विधान के अनुसार।"
Article 4,अनुच्छेद 4
Suspension of term of office,कार्यालय की अवधि का निलंबन
1 – The following shall cause a term of office to be suspended:,1 - निम्नलिखित कारणों से कार्यकाल को निलंबित किया जाएगा:
A) Approval of a request for temporary substitution when there are important grounds,जब महत्वपूर्ण कारण हों तो अस्थायी प्रतिस्थापन के अनुरोध की मंजूरी
"For it, in accordance with Article 5;","इसके लिए, अनुसार धारा 5 के अनुसार;"
"B) Criminal proceedings, as laid down in Article 11 (3);","बी) अपराधिक कार्यवाही, जैसा कि धारा 11 (3) में निर्धारित किया गया है।"
"C) occurrence of the situations referred to in Article 20 (1) (a), except for the President of","अनुच्छेद 20 (1) (a) में संदर्भित परिस्थितियों का घटना, केवल राष्ट्रपति के लिए।"
"The Republic, and in Article 20 (1) (d), (e), (f), (g), (h) and (l).","गणराज्य, और धारा 20 (1) (d), (e), (f), (g), (h) और (l) में।"
"2 – In the cases provided for in Article 20 (1) (g), the suspension of the term of office set out in","2 - धारा 20 (1) (ग) में प्रावधानित मामलों में, पद की समय सीमा का निलंबन"
"The previous paragraph is only admissible immediately after the verification of credentials by the Assembly of the Republic, or at the moment at which the Member is installed in the","पिछला अनुच्छेद केवल तभी स्वीकार्य है जब संसद के द्वारा पहचान पुष्टि होती है, या सदस्य स्थापित होता है।"
"Respective local authority position, and may not occur for more than a single period of up to","संबंधित स्थानीय प्राधिकरण पद, और एक केवल एक अवधि के लिए हो सकता है"
180 days.,180 दिन।
Article 5 temporary substitution on important grounds,मामूली कारणों पर अस्थायी प्रतिस्थापन की अनुमति देना
"1 – When there are important grounds for doing so, Members of the Assembly of the Republic may ask the President of the Assembly to substitute them once or more than once during the course of the legislature.","जब ऐसे महत्वपूर्ण कारण होते हैं, तो गणराज्य सभा के सदस्य विधानसभा के अध्यक्ष से अनुरोध कर सकते हैं कि उन्हें विधानमंत्रियों के दौरान एक या एक से अधिक बार प्रतिस्थापित करें।"
2 – Important grounds shall mean: a) Serious illness that involves being unable to exercise the functions of Member of the,2 - महत्वपूर्ण कारण यह मतलब है: ए) गंभीर बीमारी जो सदस्य के कार्यों को नहीं कर पाने का सामना करना पड़ता है।
Assembly of the Republic for a period of not less than thirty and not more than one,गणराज्य की सभा के लिए कम से कम तीस और अधिक से अधिक एक अवधि के लिए।
Hundred and eighty days; b) The taking of maternity or paternity leave;,सौ और अस्त दिन; b) मातृत्व या पितृत्व छुट्टी लेना;
"3 C) The need to ensure the furtherance of proceedings, in accordance with Article 11 (3).","3 सी) प्रक्रियाओं के आगे बढ़ने की आवश्यकता को सुनिश्चित करने की आवश्यकता, अनुच्छेद 11 (3) के अनुसार।"
"3 – The request for substitution shall be submitted either directly by the Member of the assembly of the Republic himself, or via the leadership of his parliamentary group, in which case it shall be accompanied by a declaration of consent by the Member who is to be substituted.","3 - प्रतिस्थान का अनुरोध सीधे गणराज्य सभा के सदस्य द्वारा प्रस्तुत किया जाएगा, या उसके संसदीय समूह के नेतृत्व के माध्यम से, जिसमें उस सदस्य की सहमति की घोषणा के साथ होगा जिसे स्थानांतरित किया जाना है।"
"4 – When based on the grounds set out in paragraph (2) (a) or (b), the temporary substitution of a Member of the Assembly of the Republic shall not cause the processing of his remuneration to cease or any loss of length of service.","4 - पैराग्राफ (2) (ए) या (ब) में निर्धारित आधार पर जब गणराज्य सभा के सदस्य की अस्थायी प्रतिस्थापना होती है, तो उसकी वेतन प्रसंस्करण को बंद नहीं करेगी और कोई अवधि की सेवा की हानि नहीं होगी।"
Article 6,लेख 6
End of suspension,प्रशासनिक प्रतिबंध का अंत
1 – The suspension of a term of office shall cease:,1 - कार्यालय की एक कार्यकाल का निलंबन समाप्त हो जाएगा:
"A) In the case of Article 4 (1) (a), upon the end of the period of substitution, or upon the","Article 4 (1) (a) के मामले में, प्रतिस्थान की अवधि के समाप्त होने पर, या परिणामींयान्त्रणीयें, या"
Member of the Assembly of the Republic's early return as directly notified to the,संसद के सदस्य की शीघ्र वापसी सीधे सूचित की गई।
President of the Assembly by the Member or the leadership of the parliamentary group to which he belongs;,सभा के अध्यक्ष द्वारा सदस्य या उस संसदीय समूह के नेतृत्व द्वारा।
"B) In the case of Article 4 (1) (b), upon the issue of a judicial decision absolving the","B) धारा 4 (1) (बी) के मामले में, न्यायिक निर्णय जारी होने पर"
"Member of the Assembly of the Republic or equivalent, or upon completion of the","सदन के सदस्य या समकक्ष का सदस्य, या पूरा होने पर"
"Sentence; C) In the case of Article 4 (1) (c), upon the cessation of the function that is incompatible with that of Member of the Assembly of the Republic.","वाक्य; C) धारा 4 (1) (सी) के मामले में, जब वह कार्य समाजवादी गणराज्य के सदस्य के कार्य से असंगत हो जाए।"
2 – All the powers possessed by the last Member of the Assembly of the Republic from the respective electoral list to have exercised the mandate on the date on which the original,"2 - गणराज्य की सभा के पिछले सदस्य द्वारा वे सभी शक्तियाँ जो अभिलेखीय निर्वाचन सूची से अधिकार का प्रयोग करने वाला आखिरी सदस्य हैं, उस तिथि पर जिस दिन मूल को अभिवादन मिला है।"
Member resumes the exercise of his mandate shall automatically cease on that date.,"सदस्य अपने पद का प्रयोग फिर से आरंभ करता है, तो उस तारीख पर स्वचालित रूप से समाप्त हो जाएगा।"
"3 – Without prejudice to the provisions of Article 11 (3) (b), no Member of the Assembly of the","3 - निर्दोषी रूप से धारा 11 (3) (बी) की प्रावधानों के बिना, संसद का कोई सदस्य"
Republic may return before the end of the fifty days provided for in Article 5 (5).,संविधान के अनुच्छेद 5 (5) में निर्धारित पचास दिनों के अंत से पहले गणराज्य वापस लौट सकता है।
Article 7 resignation of seat,अनुच्छेद 7 सीट का इस्तीफा
1 – Members of the Assembly of the Republic may resign their seat by means of a written,1 - गणराज्य सभा के सदस्य लिखित रूप से अपनी सीट देने के लिए इस्तीफा दे सकते हैं।
"Declaration, which shall be submitted to the President of the Assembly either in person, or bearing a notarised signature.",इस घोषणा को सभा के अध्यक्ष को व्यक्तिगत रूप से या एक नोटराइज्ड हस्ताक्षर के साथ प्रस्तुत किया जाएगा।
2 – No resignation request shall be processed until the leader of the respective parliamentary,2 - किसी भी संसदीय नेता की अध्यक्षता नहीं होने तक कोई इस्तीफा अनुरोध प्रक्रियागत नहीं किया जाएगा।
"Group, when one exists, has first been notified of it.","समूह, जब एक मौजूद होता है, उसे पहले सूचित किया जाता है।"
3 – Without prejudice to their subsequent publication in the Journal of the Assembly of the,3 - संसद के जर्नल में उनके बाद में प्रकाशन के बिना।
"Republic, resignations shall take effect when the Bureau announces them to the Plenary.","गणराज्य, इस्तीफे पूर्णसभा को उन्हें घोषित करने पर प्रभावी होंगे।"
Article 8,अनुच्छेद 8
Loss of seat 1 – Members of the Assembly of the Republic shall lose their seat when:,सीट का नुकसान 1 - गणराज्य सभा के सदस्य सीट खो देंगे जब:
A) They become subject to any of the disqualifications or incompatibilities provided for,उन्हें किसी भी अक्षमता या असंगति का अधिकार प्राप्त होता है।
"By law, even when due to facts that arose prior to their election; and the Assembly of","कानून के अनुसार, चुनाव से पहले हुए तथ्यों के कारण हो। और सभा की"
The Republic may not reassess facts which have been the object of a judicial ruling that has already transited in rem judicatam or of an earlier decision by the Assembly itself;,गणराज्य उन तथ्यों की पुनरार्थना नहीं कर सकता जिन्होंने पहले ही न्यायिक निर्णय के विषय बने हों जो पहले ही अस्थायी रूप से निर्णयित हो गए हों या सभा द्वारा पहले ही निर्धारित निर्णय के।
"4 b) They do not take up their seat in the Assembly of the Republic, or they exceed the permitted number of failures to attend, except for reasons that are justified under the terms of paragraph (2) and in accordance with the Rules of Procedure; C) They register as members of a political party other than that for which they stood for election; d) They are judicially convicted of participating in organisations that possess a racist or fascist ideology.","4 बी) वे संसद के सभा में अपनी सीट नहीं लेते हैं, या वे उपस्थित होने की अनुमति दी गई बार-बारी की संख्या से अधिक छोड़ देते हैं, केवल उन कारणों के तहत जो अनुचित हैं अनुच्छेद (2) की शर्तों के अनुसार और विधि विधान के अनुसार; सी) वे चुनाव के लिए खड़े होने वाले राजनीतिक पार्टी के सदस्य के रूप में पंजीकृत होते हैं; डी) वे ऐसी संगठनों में भाग लेने के लिए न्यायिक रूप से सजा भुगतते हैं जो जातिवादी या फासिस्ट विचारधारा रखते हैं।"
"2 – Illness, marriage, maternity or paternity, mourning, force majeure, parliamentary missions or work, and political work or work pertaining to the political party to which the Member of the assembly of the Republic in question belongs, as well as participation in parliamentary activities, in accordance with the Rules of Procedure, shall be deemed justified reasons.","2 - बीमारी, विवाह, मातृत्व या पितृत्व, शोक, अदृश्य परिस्थितियों, संसदीय मिशन या काम, और राजनीतिक काम या उस राजनीतिक पार्टी के काम जिसके सदस्य को संसद की सभा का हिस्सा है, साथ ही संसदीय गतिविधियों में भाग लेना, नियमन प्रक्रिया के अनुसार, स्वीकृत कारण माना जाएगा।"
3 – Any Member of the Assembly of the Republic who is present at a sitting or meeting and invokes duly substantiated reasons of conscience shall be deemed justified in not taking part in voting.,"3 - गणराज्य सभा के किसी भी सदस्य जो किसी बैठक या मीटिंग में मौजूद है और नैतिकता के सही कारणों को समर्थन करता है, उसे मतदान में भाग नहीं लेने में मान्यता दी जाएगी।"
4 – Transport difficulties may be deemed justification for failures to attend in exceptional cases.,4 - परिवहन की कठिनाइयाँ असाधारण मामलों में उपस्थित नहीं होने के लिए कारण मानी जा सकती है।
5 – In the applicable cases set out in Article 20 and if the Member of the Assembly of the Republic,5 - लागू मामलों में जो अनुच्छेद 20 में उल्लिखित हैं और अगर गणराज्य सभा के सदस्य हैं
"In question does not comply with the provisions of Article 21 (7), failure to suspend his term of office in accordance with Article 4 shall cause the loss of his seat in accordance with Article","प्रश्न धारा 21 (7) की प्रावधानों का पालन नहीं करता है, धारा 4 के अनुसार उसके कार्यकाल का निलंबन न करने के कारण उसकी सीट की गवाही होगी।"
160 (1) (a) of the Constitution.,संविधान की धारा 160 (1) (a)।
The loss of seat shall be declared following verification by the,सीट का नुकसान सत्यापन के बाद घोषित किया जाएगा।
"Assembly of the Republic, in accordance with the Rules of Procedure.","संसद, नियम प्रक्रिया के अनुसार।"
Article 9 substitution of Members of the Assembly of the Republic,धारा 9 विधानसभा के सदस्यों की प्रतिस्थापना
"1 – In cases in which a Member of the Assembly of the Republic's seat falls vacant or his term of office is suspended, he shall be substituted by the candidate who occupied the highest position","1 - जिन मामलों में जब गणराज्य सभा के सदस्य की सीट खाली हो जाती है या उसके कार्यकाल को निलंबित किया जाता है, उसे उस उम्मीदवार द्वारा बदला जाएगा जिसने सबसे ऊपरी स्थान रखा था।"
On the same electoral list and was not elected.,एक ही चुनावी सूची में था और चुनाव नहीं जीता गया।
"2 – In the event that the candidate who is called upon to take up the functions of Member of the Assembly of the Republic is temporarily unable to do so, the candidate who occupied the","2 - जिस स्थिति में यदि उम्मीदवार जिसे गणराज्य सभा के सदस्य के कार्यों की नियुक्ति के लिए बुलाया जाता है, वह तात्कालिक रूप से इसे नहीं संभाल सकता है, तो उम्मीदवार जिसने इसे किया हो"
Next ‐ highest position on the same electoral list shall take over his position.,अगला - सबसे ऊपरी स्थिति उसकी स्थिति पर कब्जा करेगा।
"3 – Once the inability has ended, the candidate shall once again take up his original position on the list for the purpose of future substitutions.","3 - एक बार अशक्ति समाप्त होने के बाद, उम्मीदवार फिर से भविष्य की प्रतिस्थानों के लिए अपनी मूल स्थिति को लेगा।"
"4 – If there are no longer any unelected effective or substitute candidates on the list of the Member of the Assembly of the Republic who is to be substituted, no substitution shall take place.","4 - अगर जिन उम्मीदवारों के पास सदन के सदस्य की सूची में कोई भी चुनावी या प्रतिस्थापित उम्मीदवार नहीं है, जिन्हें स्थानांतरण किया जाना चाहिए, तो कोई स्थानांतरण नहीं होगा।"
"5 – Both the substitution provided for by this Article, and the recognition of the temporary",5 - इस धारा द्वारा प्रदान की गई प्रतिस्थापना और अस्थायी पहचान।
"Inability on the part of an unelected candidate and of the end thereof, shall be subject to the",किसी चुने गए उम्मीदवार और उसके अंत की असमर्थता का नियंत्रण होगा।
"Issue of a request by the leadership of the Member of the Assembly of the Republic's parliamentary group, when one exists, or by the candidate with the right to fill the vacant seat.","सदन के सदस्य समूह के नेतृत्व द्वारा एक अनुरोध का मुद्दा उठाना, जब एक होता है, या रिक्त सीट भरने का अधिकार वाले उम्मीदवार द्वारा।"
5 Chapter II immunities,5 अध्याय II अक्षमताएँ
Article 10 non ‐ liability members of the Assembly of the Republic are not civilly or criminally liable for or subject to disciplinary sanctions in relation to their votes or the opinions they express in the exercise of,धारा 10 गणराज्य सभा के सदस्यों की अजिम्मेदारी नहीं है कि वे नागरिक रूप से या दंडात्मक दंडों के लिए उनके वोटों या उनके व्यक्त किए गए विचारों के संबंध में दंडित हों या शासनात्मक दंडों के प्रति अजिम्मेदार हैं।
Their functions or because of them.,उनके कार्य या उनके कारण।
Article 11 inviolability,अनुच्छेद 11 अक्षतता
"1 – No Member of the Assembly of the Republic may be detained, arrested or imprisoned","1 - संसद का कोई सदस्य नहीं गिरफ्तार, अरेस्ट या जेल में बंद किया जा सकता है।"
"Without the Assembly's authorisation, save for a wilful crime which is punishable by imprisonment for a maximum term of more than three years and in flagrante delicto.","सभा की अनुमति के बिना, केवल एक ऐच्छिक अपराध के लिए, जिसे अधिकतम तीन साल से अधिक की कैद से सजा दी जा सकती है और फ्लैग्रेंटो डेलिक्टो में।"
2 – Members of the Assembly of the Republic may not be heard as makers of declarations or,2 - गणराज्य की सभा के सदस्य बयान या
Official suspects without the Assembly's authorisation.,आधिकारिक संशय विधानसभा की अनुमति के बिना।
In the event of the existence of strong,मजबूत की मौजूदगी की घटना के मामले में
Indications of the wilful commission of a crime that is punishable by imprisonment for a,जुर्म की इच्छाशील जानबूझकर उत्पन्न किए गए संकेत जो किसी जेल की सजा से दंडनीय हैं।
"Maximum term of more than three years, the Assembly shall obligatorily authorise that a Member be heard as an official suspect.","तीन साल से अधिक की अधिकतम अवधि के लिए, सभा को अनिवार्य रूप से अधिकारी संदिग्ध के रूप में सुनवाई की अनुमति देनी चाहिए।"
3 – In the event that criminal proceedings are brought against a Member of the Assembly of the,"3 - अगर किसी सदन के सदस्य के खिलाफ गुनाह के कारण कानूनी कार्रवाई की जाती है, तो"
"Republic and he is definitively charged, the Assembly shall decide, within the time limit laid down","गणराज्य और उसे निश्चित रूप से आरोपित किया गया है, तो सभा को समय सीमा के अंदर निर्धारित करना होगा।"
"In the Rules of Procedure, whether or not he must be suspended so that the proceedings can take their course, as follows: a) When the crime is of the type referred to in paragraph (1), suspension is obligatory;","नियम प्रक्रिया में, क्या उसे निलंबित किया जाना चाहिए ताकि कार्यवाही अपना मार्ग ले सके, जैसे: ए) जब अपराध वह प्रकार का हो जिसका संदर्भ पैराग्राफ (1) में दिया गया हो, तो निलंबन अनिवार्य है।"
"B) The Assembly may limit the Member of the Assembly of the Republic's suspension to the time which, under the circumstances, it deems most appropriate to both the",बी) सभा गणराज्य सभा के सदस्य की निलंबन को उस समय तक सीमित कर सकती है जिसे परिस्थितियों के अनुसार सबसे उपयुक्त मानती है।
Exercise of his mandate and the furtherance of the criminal proceedings.,उसके निर्देश का पालन करना और अपराधिक कार्यवाही को आगे बढ़ाना।
"4 – A charge shall become definitive, whereupon the procedural acts shall be pursued up until the trial hearing:","4 - एक आरोप पक्षपाती हो जाएगा, जिसके बाद प्रक्रियात्मक कार्रवाई की जाएगी जब तक न्यायिक सुनवाई तक आगे बढ़ाई जाएगी।"
"A) When, in the event of the intervention of an examining judge, the latter confirms the","जब, जांच करने वाले जज की हस्तक्षेप की स्थिति में, तो अंतिम वही पुष्टि करता है"
"Charge brought by the Public Prosecutors' Office and the decision is not challenged or,","सार्वजनिक अभियोजन कार्यालय द्वारा लगाया गया आरोप और निर्णय पर चुनौती नहीं है या,"
"In the event of an appeal, it is maintained by the higher court;","यदि कोई अपील की गई हो, तो उसे उच्च न्यायालय द्वारा संभाला जाता है।"
B) Once the decision to indict has transited in rem judicatam due to facts that differ from,"बी) एक बार तय किया गया है कि दोषी ठहराया जाएगा, क्योंकि तथ्य भिन्न हैं, तो उसे रेम जुडिकाटम में स्थिति बदल गई है।"
Those set out in the charge brought by the Public Prosecutors' Office;,जो लोग जन सरकारी अभियोजन के द्वारा लगाए गए आरोप में शामिल हैं।
"C) In the event that there are no committal proceedings, once the trial judge has issued the curative ruling;","सी) उस स्थिति में, जब कोई समर्पण प्रक्रियाएँ न हों, एक बार परीक्षा न्यायाधीश ने उपचारात्मक निर्णय जारी किया है;"
"D) In cases involving summary proceedings, once the Public Prosecutors' Office has","D) संक्षिप्त प्रक्रिया से संबंधित मामलों में, एक बार पब्लिक प्रोसीक्यूटर्स कार्यालय के पास"
Requested the imposition of a sanction.,सजा का आवेदन किया।
5 – The competent judge shall submit the authorisation request referred to in the previous paragraphs in the form of a document addressed to the President of the Assembly of the,5 - सक्षम न्यायाधीश को पूर्वलेखित अनुच्छेदों में उल्लिखित अधिकारी अनुज्ञान अनुरोध प्रस्तुत करेगा जो एक दस्तावेज़ के रूप में होगा जो सभा के अध्यक्ष को पत्रित किया गया हो।
"Republic, and the request shall not lapse at the end of the legislature if the Member in question is elected for a new term of office.","गणराज्य, और यदि सदस्य को नए कार्यकाल के लिए चुना जाता है तो निवेदन विधानसभा के समापन पर समाप्त नहीं होगा।"
"6 – The decisions to which this Article refers shall be taken by the Plenary, which shall first hear the Member of the Assembly of the Republic involved and consider a formal written opinion","6 - जिन निर्णयों का उल्लेख इस लेख में है, उन्हें संपूर्ण सदन द्वारा लिया जाएगा, जिसमें सबसे पहले संलग्न विधानसभा के सदस्य को सुना जाएगा और एक स्वरूपी लिखित राय को विचार किया जाएगा।"
From the committee with competence for the matter in question.,जिस विषय के लिए प्राधिकरण समिति सक्षम है।
6 7 – The time limit for the prescription of the criminal proceedings shall be suspended when the,6 7 - अपराधिक प्रक्रियाओं के प्रावधान के लिए निर्धारित समय सीमा को तब तक रोक दिया जाएगा जब तक
Authorisation request made by the competent judge is submitted to the Assembly of the,प्राधिकरणीय न्यायाधीश द्वारा की गई अधिकारिकता अनुरोध को सभा को प्रस्तुत किया जाता है।
"Republic, in accordance with and for the purposes of Article 120 (1) (a) of the penal Code; if the","गणराज्य, दंड संहिता की धारा 120 (1) (a) के अनुसार और उद्देश्यों के लिए; यदि"
"Assembly decides not to lift the Member's immunity, the suspension shall remain in effect for","विधानसभा निर्णय करती है कि सदस्य की आवासीयता को नहीं उठाना चाहिए, तो प्रतिबंध प्रभाव में रहेगा।"
As long as he is entitled to the prerogative.,जब तक उसे यह विशेषाधिकार प्राप्त है।
Chapter III,अध्याय III
Conditions under which mandates are exercised,परिपत्रों का प्रयोग किए जाने के शर्त।
Article 12 conditions under which the function of Member of the Assembly of the Republic is exercised,धारा 12 उस स्थितियों का विवरण देती है जिसके तहत गणराज्य सभा के सदस्य का कार्य संचालित किया जाता है।
1 – Members of the Assembly of the Republic shall exercise their mandate freely and shall be,1 - गणराज्य सभा के सदस्य अपने पद का स्वतंत्र रूप से प्रयोग करेंगे और उन्हें
"Ensured the conditions appropriate to the effective exercise of their functions, particularly with regard to the indispensable contact with registered electors, and to being informed regularly.","उनके कार्यों के प्रभावी निष्पादन के लिए उपयुक्त स्थितियों की सुनिश्चित की गई, विशेष रूप से पंजीकृत मतदाताओं के संपर्क के अनिवार्यता और नियमित रूप से सूचित किया जाना।"
"2 – Each Member of the Assembly of the Republic has the right to appropriate working conditions, particularly:","2 - गणराज्य सभा के प्रत्येक सदस्य को उचित कार्य स्थितियों का अधिकार है, विशेष रूप से:"
A) his own individualised office at the seat of the Assembly of the Republic;,गणराज्य सभा के सीट पर अपना व्यक्तिगत कार्यालय।
"B) An individual assistant, to be recruited as laid down by law;","बी) एक व्यक्तिगत सहायक, जैसा कानून द्वारा निर्धारित होना चाहिए।"
C) a dedicated electronic mailbox;,एक समर्पित इलेक्ट्रॉनिक मेलबॉक्स;
D) An individual page on the Assembly of the Republic's website.,डी) संसद की वेबसाइट पर एक व्यक्तिगत पृष्ठ।
"3 – Every public entity is subject to the general duty of cooperation with Members of the assembly of the Republic, both in the exercise of their functions and because of them.","3 - प्रत्येक सार्वजनिक एकाधिकारी को संसद के सदस्यों के साथ सहयोग का सामान्य कर्तव्य है, उनके कार्यों के प्रयोग में और उनके कारण।"
4 – Departments and services that belong to or are dependent on the central administration,4 - केंद्रीय प्रशासन के अधीन या इसके निर्भर विभाग और सेवाएँ।
"Must furnish Members of the Assembly of the Republic with the conditions required for the exercise of their mandates, particularly by supplying such items, information and official","संसद के सदस्यों को अपने कार्यकाल के लिए आवश्यक स्थितियों को पूरा करना होगा, विशेष रूप से इस द्वारा कि उन्हें ऐसी वस्तुएं, जानकारी और आधिकारिक सामग्री प्रदान करनी चाहिए।"
"Publications as are requested and, whenever possible, by providing facilities for working meetings, on condition that this does not affect the operation of the department or service itself.","प्रकाशन जितना संभव हो, उसे अनुरोध किया जाता है, और कार्य सम्मेलनों के लिए सुविधाएं प्रदान करके, यहाँ तक कि यह विभाग या सेवा के संचालन पर प्रभाव न पड़े।"
"5 – When so asked by Members of the Assembly of the Republic, civil governments must provide","5 - जब संसद के सदस्यों द्वारा ऐसा अनुरोध किया जाता है, तो सिविल सरकारों को प्रदान करना चाहिए।"
Appropriate facilities that enable the Members to have direct contact with the media and with the citizens from their constituencies.,सही सुविधाएं जो सदस्यों को मीडिया और अपने चुनावी क्षेत्र के नागरिकों के साथ सीधा संपर्क बनाने की सुविधा प्रदान करती है।
6 – In the exercise of their functions Members of the Assembly of the Republic have the right to,6 - गणराज्य सभा के सदस्यों के कार्यों का ब्यौरा करते समय उन्हें अधिकार है।
"Use postal services and telecommunications systems free of charge, as well as to the use of the","डाक सेवाओं और दूरसंचार प्रणालियों का मुफ्त उपयोग करें, साथ ही कि उपयोग करें"
Parliamentary it network and other electronic information networks.,संसदीय इसका नेटवर्क और अन्य इलेक्ट्रॉनिक सूचना नेटवर्क।
"7 – Members of the Assembly of the Republic shall be ensured the use of toll ‐ free lines,",संसद के सदस्यों को टोल-मुक्त लाइनों का उपयोग सुनिश्चित किया जाएगा।
Automatic information systems and other forms of publicising their parliamentary activities and,स्वचालित सूचना प्रणालियाँ और अन्य प्रकार के सार्वजनिक विज्ञापन करना उनकी संसदीय गतिविधियों को।
"Contacting electors, both at the central level and in their constituencies.",चुनावक्षेत्रों में और केंद्रीय स्तर पर चुनावायों से संपर्क करना।
8 – The terms and conditions governing the use of each means of communication shall be set by the competent organs of the Assembly of the Republic.,8 - प्रत्येक संचार के उपयोग के शर्तों और नियमों को संसद के प्राधिकरण निर्धारित करेगा।
7,सात
Article 13 compensation for damages,धारा 13 क्षतिपूर्ति के लिए मुआवजा
"1 – Members of the Assembly of the Republic who, in the exercise of their functions or because","1 - विधान सभा के सदस्य जो, अपने कार्यों का प्रयोग करते हुए या क्योंकि"
"Of them, are victims of acts that imply an offence against their life, physical or moral integrity, freedom or assets have the right to fair compensation.","उनमें से, जिन्हें उनकी जीवन, शारीरिक या मानसिक पूर्णता, स्वतंत्रता या संपत्ति के खिलाफ अपराध का संकेत है, उनका अधिकार न्यायसंगत मुआवजा पाने का है।"
2 – The facts which justify that compensation shall be the object of an inquiry to be ordered by,"२ - तथ्य जो यह साबित करते हैं कि मुआवजा जांच का विषय होना चाहिए, जिसे किसी द्वारा आदेशित किया जाए।"
"The President of the Assembly of the Republic, who shall decide whether to award the compensation and the amount thereof, save if and to the extent that the damages are covered by other means.","जनसभा के अध्यक्ष, जो निर्धारित करेगा कि क्षतिपूर्ति देनी चाहिए और उसकी राशि, जब तक कि क्षति अन्य साधनों द्वारा कवर नहीं की गई हैं, उस समय तक।"
