English,German
"2 Article 1 nature and scope of mandate 1 – Members of the Assembly of the Republic represent the whole country, and not the constituencies for which they are elected.","2 Artikel 1 Natur und Umfang des Mandats 1 - Die Mitglieder der Versammlung der Republik vertreten das ganze Land und nicht die Wahlkreise, für die sie gewählt wurden."
"2 – Members of the Assembly of the Republic all possess the same status and all enjoy and are subject to the same rights and duties, without prejudice to specific conditions applicable to the","Mitglieder der Versammlung der Republik besitzen alle den gleichen Status und genießen und unterliegen den gleichen Rechten und Pflichten, ohne dass spezifische Bedingungen anwendbar sind."
Exercise and fulfilment thereof and the regime governing the different parliamentary functions,"Übung und deren Erfüllung sowie das Regime, das die verschiedenen parlamentarischen Funktionen regelt."
"They perform, as laid down by law.","Sie führen aus, wie es das Gesetz vorschreibt."
Article 2 beginning and end of term of office,Artikel 2 Beginn und Ende der Amtszeit
"1 – The term of office of Members of the Assembly of the Republic begins upon the first sitting of the Assembly following elections thereto and ends upon the first sitting following the subsequent elections thereto, without prejudice to the suspension or termination of any","1 - Die Amtszeit der Mitglieder der Nationalversammlung beginnt mit der ersten Sitzung der Versammlung nach den Wahlen und endet mit der ersten Sitzung nach den darauffolgenden Wahlen, unbeschadet der Aussetzung oder Beendigung jeglicher"
Individual term of office.,Individuelle Amtszeit.
2 – The filling of vacancies which arise in the Assembly of the Republic shall be regulated by electoral law.,"2 - Die Besetzung von vakanten Stellen, die im Parlament entstehen, wird durch das Wahlgesetz geregelt."
Article 3 verification of credentials,Überprüfung von Referenzen gemäß Artikel 3
"The Assembly of the Republic shall verify Members' credentials, in accordance with the respective Rules of Procedure.",Die Versammlung der Republik wird die Mandate der Mitglieder gemäß den jeweiligen Verfahrensregeln überprüfen.
Article 4,Artikel 4
Suspension of term of office,Aussetzung der Amtszeit
1 – The following shall cause a term of office to be suspended:,1 - Folgendes führt zur Aussetzung einer Amtszeit:
A) Approval of a request for temporary substitution when there are important grounds,"Genehmigung eines Antrags auf vorübergehende Vertretung, wenn wichtige Gründe vorliegen."
"For it, in accordance with Article 5;","Dafür, gemäß Artikel 5;"
"B) Criminal proceedings, as laid down in Article 11 (3);","B) Strafverfahren, wie in Artikel 11 Absatz 3 festgelegt;"
"C) occurrence of the situations referred to in Article 20 (1) (a), except for the President of","C) Auftreten der in Artikel 20 Absatz 1 Buchstabe a genannten Situationen, ausgenommen für den Präsidenten."
"The Republic, and in Article 20 (1) (d), (e), (f), (g), (h) and (l).","Die Republik und in Artikel 20 (1) (d), (e), (f), (g), (h) und (l)."
"2 – In the cases provided for in Article 20 (1) (g), the suspension of the term of office set out in",2 - In den in Artikel 20 Absatz 1 Buchstabe g vorgesehenen Fällen wird die Aussetzung der Amtszeit festgelegt.
"The previous paragraph is only admissible immediately after the verification of credentials by the Assembly of the Republic, or at the moment at which the Member is installed in the","Der vorherige Absatz ist nur zulässig unmittelbar nach der Überprüfung der Legitimation durch die Versammlung der Republik oder im Moment, in dem das Mitglied in der Funktion eingesetzt wird."
"Respective local authority position, and may not occur for more than a single period of up to",Entsprechende örtliche Behördenposition und darf nicht länger als einen Zeitraum von bis zu
180 days.,180 Tage.
Article 5 temporary substitution on important grounds,Artikel 5 vorübergehende Vertretung aus wichtigen Gründen
"1 – When there are important grounds for doing so, Members of the Assembly of the Republic may ask the President of the Assembly to substitute them once or more than once during the course of the legislature.","1 - Wenn es wichtige Gründe dafür gibt, können Mitglieder der Generalversammlung den Präsidenten der Generalversammlung bitten, sie einmal oder mehrmals während der Legislaturperiode zu vertreten."
2 – Important grounds shall mean: a) Serious illness that involves being unable to exercise the functions of Member of the,"2 - Wichtige Gründe bedeuten: a) Schwerwiegende Krankheit, die es unmöglich macht, die Funktionen eines Mitglieds des"
Assembly of the Republic for a period of not less than thirty and not more than one,Versammlung der Republik für einen Zeitraum von mindestens dreißig und höchstens einem
Hundred and eighty days; b) The taking of maternity or paternity leave;,Hundertachtzig Tage; b) Die Inanspruchnahme von Mutterschafts- oder Vaterschaftsurlaub;
"3 C) The need to ensure the furtherance of proceedings, in accordance with Article 11 (3).","3 C) Die Notwendigkeit, die Fortführung des Verfahrens gemäß Artikel 11 (3) sicherzustellen."
"3 – The request for substitution shall be submitted either directly by the Member of the assembly of the Republic himself, or via the leadership of his parliamentary group, in which case it shall be accompanied by a declaration of consent by the Member who is to be substituted.","3 - Der Antrag auf Substitution wird entweder direkt vom Mitglied der Versammlung der Republik selbst oder über die Führung seiner parlamentarischen Gruppe gestellt, in welchem Fall er von einer Zustimmungserklärung des zu ersetzenden Mitglieds begleitet sein muss."
"4 – When based on the grounds set out in paragraph (2) (a) or (b), the temporary substitution of a Member of the Assembly of the Republic shall not cause the processing of his remuneration to cease or any loss of length of service.","4 - Wenn die vorliegenden Gründe gemäß Absatz (2) (a) oder (b) vorliegen, führt die vorübergehende Vertretung eines Mitglieds der Nationalversammlung nicht dazu, dass die Bearbeitung seiner Vergütung eingestellt oder ein Verlust an Dienstzeit entsteht."
Article 6,Artikel 6
End of suspension,Ende der Suspendierung
1 – The suspension of a term of office shall cease:,1 - Die Aussetzung eines Amts endet:
"A) In the case of Article 4 (1) (a), upon the end of the period of substitution, or upon the","A) Im Falle von Artikel 4 Absatz 1 Buchstabe a, bei Ablauf der Vertretungsfrist oder bei"
Member of the Assembly of the Republic's early return as directly notified to the,"Mitglied der Versammlung der Republik, dessen frühe Rückkehr direkt benachrichtigt wurde."
President of the Assembly by the Member or the leadership of the parliamentary group to which he belongs;,"Präsident der Versammlung durch das Mitglied oder die Führung der parlamentarischen Gruppe, der er angehört;"
"B) In the case of Article 4 (1) (b), upon the issue of a judicial decision absolving the","B) Im Falle von Artikel 4 (1) (b) wird bei Erlass eines gerichtlichen Urteils, das den Angeklagten freispricht,"
"Member of the Assembly of the Republic or equivalent, or upon completion of the",Mitglied der Versammlung der Republik oder einem gleichwertigen Gremium oder nach Abschluss der
"Sentence; C) In the case of Article 4 (1) (c), upon the cessation of the function that is incompatible with that of Member of the Assembly of the Republic.","Im Falle von Artikel 4 (1) (c) mit dem Ende der Funktion, die mit der des Mitglieds der Versammlung der Republik unvereinbar ist."
2 – All the powers possessed by the last Member of the Assembly of the Republic from the respective electoral list to have exercised the mandate on the date on which the original,"2 - Alle Befugnisse, die vom letzten Mitglied der Versammlung der Republik aus der jeweiligen Wahlliste ausgeübt wurden, um das Mandat am Tag der ursprünglichen"
Member resumes the exercise of his mandate shall automatically cease on that date.,"Das Mitglied nimmt sein Mandat wieder auf, das automatisch an diesem Datum endet."
"3 – Without prejudice to the provisions of Article 11 (3) (b), no Member of the Assembly of the",3 - Unbeschadet der Bestimmungen von Artikel 11 (3) (b) darf kein Mitglied der Versammlung der
Republic may return before the end of the fifty days provided for in Article 5 (5).,Die Republik könnte vor Ablauf der fünfzig Tage gemäß Artikel 5 (5) zurückkehren.
Article 7 resignation of seat,Artikel 7 Rücktritt vom Sitz
1 – Members of the Assembly of the Republic may resign their seat by means of a written,1 - Mitglieder der Versammlung der Republik können ihren Sitz durch ein schriftliches Rücktrittsschreiben niederlegen.
"Declaration, which shall be submitted to the President of the Assembly either in person, or bearing a notarised signature.","Erklärung, die entweder persönlich beim Präsidenten der Versammlung eingereicht werden soll oder eine notariell beglaubigte Unterschrift trägt."
2 – No resignation request shall be processed until the leader of the respective parliamentary,"2 - Kein Rücktrittsgesuch wird bearbeitet, bis der Anführer des jeweiligen Parlaments"
"Group, when one exists, has first been notified of it.","Gruppe, wenn eine existiert, wurde zuerst darüber informiert."
3 – Without prejudice to their subsequent publication in the Journal of the Assembly of the,3 - Unbeschadet ihrer späteren Veröffentlichung im Journal der Versammlung der
"Republic, resignations shall take effect when the Bureau announces them to the Plenary.","Republik, Rücktritte treten in Kraft, wenn das Büro sie dem Plenum bekannt gibt."
Article 8,Artikel 8
Loss of seat 1 – Members of the Assembly of the Republic shall lose their seat when:,"Verlust des Sitzes 1 - Die Mitglieder der Nationalversammlung verlieren ihren Sitz, wenn:"
A) They become subject to any of the disqualifications or incompatibilities provided for,Sie unterliegen allen in den Bestimmungen vorgesehenen Ausschlussgründen oder Unvereinbarkeiten.
"By law, even when due to facts that arose prior to their election; and the Assembly of","Nach dem Gesetz, auch wenn sie auf Tatsachen beruht, die vor ihrer Wahl entstanden sind; und die Versammlung von"
The Republic may not reassess facts which have been the object of a judicial ruling that has already transited in rem judicatam or of an earlier decision by the Assembly itself;,"Die Republik darf Tatsachen, die Gegenstand eines bereits rechtskräftigen Gerichtsurteils oder einer früheren Entscheidung der Versammlung selbst waren, nicht erneut überprüfen."
"4 b) They do not take up their seat in the Assembly of the Republic, or they exceed the permitted number of failures to attend, except for reasons that are justified under the terms of paragraph (2) and in accordance with the Rules of Procedure; C) They register as members of a political party other than that for which they stood for election; d) They are judicially convicted of participating in organisations that possess a racist or fascist ideology.","4 b) Sie nehmen keinen Sitz in der Versammlung der Republik ein oder überschreiten die zulässige Anzahl von Fehlzeiten, es sei denn, es liegen gerechtfertigte Gründe gemäß Absatz (2) und gemäß der Geschäftsordnung vor; c) Sie melden sich als Mitglieder einer politischen Partei an, die nicht die ist, für die sie zur Wahl standen; d) Sie werden gerichtlich wegen der Teilnahme an Organisationen verurteilt, die eine rassistische oder faschistische Ideologie vertreten."
"2 – Illness, marriage, maternity or paternity, mourning, force majeure, parliamentary missions or work, and political work or work pertaining to the political party to which the Member of the assembly of the Republic in question belongs, as well as participation in parliamentary activities, in accordance with the Rules of Procedure, shall be deemed justified reasons.","2 – Krankheit, Heirat, Mutterschaft oder Vaterschaft, Trauer, höhere Gewalt, parlamentarische Missionen oder Arbeit und politische Arbeit oder Arbeit im Zusammenhang mit der politischen Partei, der das Mitglied der Versammlung der Republik angehört, sowie die Teilnahme an parlamentarischen Aktivitäten gemäß der Geschäftsordnung gelten als gerechtfertigte Gründe."
3 – Any Member of the Assembly of the Republic who is present at a sitting or meeting and invokes duly substantiated reasons of conscience shall be deemed justified in not taking part in voting.,"3 - Jedes Mitglied der Versammlung der Republik, das bei einer Sitzung oder Versammlung anwesend ist und begründete Gewissensgründe geltend macht, wird als gerechtfertigt angesehen, nicht an der Abstimmung teilzunehmen."
4 – Transport difficulties may be deemed justification for failures to attend in exceptional cases.,4 - Transportprobleme können in außergewöhnlichen Fällen als Rechtfertigung für das Nichterscheinen angesehen werden.
5 – In the applicable cases set out in Article 20 and if the Member of the Assembly of the Republic,5 - In den anwendbaren Fällen gemäß Artikel 20 und wenn das Mitglied der Versammlung der Republik
"In question does not comply with the provisions of Article 21 (7), failure to suspend his term of office in accordance with Article 4 shall cause the loss of his seat in accordance with Article","7. 

Die betreffende Frage entspricht nicht den Bestimmungen des Artikels 21 (7), und bei Nichtaussetzung seines Amts gemäß Artikel 4 führt dies gemäß Artikel 7 zum Verlust seines Sitzes."
160 (1) (a) of the Constitution.,Artikel 160 (1) (a) der Verfassung.
The loss of seat shall be declared following verification by the,Der Sitzverlust soll nach Überprüfung durch den erklärt werden.
"Assembly of the Republic, in accordance with the Rules of Procedure.","Versammlung der Republik, gemäß der Geschäftsordnung."
Article 9 substitution of Members of the Assembly of the Republic,Artikel 9 Ersatz von Mitgliedern der Versammlung der Republik
"1 – In cases in which a Member of the Assembly of the Republic's seat falls vacant or his term of office is suspended, he shall be substituted by the candidate who occupied the highest position","1 - In Fällen, in denen der Sitz eines Mitglieds der Versammlung der Republik frei wird oder seine Amtszeit ausgesetzt wird, wird er durch den Kandidaten ersetzt, der die höchste Position innehatte."
On the same electoral list and was not elected.,Auf derselben Wahlliste stand und wurde nicht gewählt.
"2 – In the event that the candidate who is called upon to take up the functions of Member of the Assembly of the Republic is temporarily unable to do so, the candidate who occupied the","2 - Falls der Kandidat, der aufgerufen wird, die Funktionen als Mitglied der Versammlung der Republik zu übernehmen, vorübergehend dazu nicht in der Lage ist, der Kandidat, der die Position innehatte"
Next ‐ highest position on the same electoral list shall take over his position.,Die nächsthöchste Position auf derselben Wahlliste übernimmt seine Position.
"3 – Once the inability has ended, the candidate shall once again take up his original position on the list for the purpose of future substitutions.","3 - Sobald die Unfähigkeit beendet ist, soll der Kandidat seine ursprüngliche Position auf der Liste wieder einnehmen, um für zukünftige Vertretungen bereit zu sein."
"4 – If there are no longer any unelected effective or substitute candidates on the list of the Member of the Assembly of the Republic who is to be substituted, no substitution shall take place.","4 - Wenn es keine unelected wirksamen oder Ersatzkandidaten mehr auf der Liste des Mitglieds der Versammlung der Republik gibt, das ersetzt werden soll, wird keine Substitution stattfinden."
"5 – Both the substitution provided for by this Article, and the recognition of the temporary",5 - Sowohl die in diesem Artikel vorgesehene Vertretung als auch die Anerkennung der vorübergehenden
"Inability on the part of an unelected candidate and of the end thereof, shall be subject to the",Unfähigkeit seitens eines nicht gewählten Kandidaten und des Endes davon unterliegt der
"Issue of a request by the leadership of the Member of the Assembly of the Republic's parliamentary group, when one exists, or by the candidate with the right to fill the vacant seat.","Vorlage eines Antrags durch die Führung der Fraktion des Mitglieds der Versammlung der Republik, wenn eine besteht, oder durch den Kandidaten mit dem Recht, den freien Sitz zu besetzen."
5 Chapter II immunities,5 Kapitel II Immunitäten
Article 10 non ‐ liability members of the Assembly of the Republic are not civilly or criminally liable for or subject to disciplinary sanctions in relation to their votes or the opinions they express in the exercise of,"Artikel 10 - Nicht haftende Mitglieder der Versammlung der Republik sind weder zivil- noch strafrechtlich haftbar oder disziplinarischen Sanktionen unterworfen in Bezug auf ihre Stimmen oder die Meinungen, die sie bei der Ausübung äußern."
Their functions or because of them.,Ihre Funktionen oder wegen ihnen.
Article 11 inviolability,Artikel 11 Unverletzlichkeit
"1 – No Member of the Assembly of the Republic may be detained, arrested or imprisoned","1 - Kein Mitglied der Nationalversammlung darf festgenommen, verhaftet oder inhaftiert werden."
"Without the Assembly's authorisation, save for a wilful crime which is punishable by imprisonment for a maximum term of more than three years and in flagrante delicto.","Ohne die Genehmigung der Versammlung, es sei denn, es handelt sich um ein vorsätzliches Verbrechen, das mit einer Höchststrafe von mehr als drei Jahren Gefängnis bestraft wird und auf frischer Tat erwischt wird."
2 – Members of the Assembly of the Republic may not be heard as makers of declarations or,2 - Mitglieder der Versammlung der Republik dürfen nicht als Erklärungsmacher gehört werden.
Official suspects without the Assembly's authorisation.,Offizielle Verdächtige ohne die Genehmigung der Versammlung.
In the event of the existence of strong,Im Falle des Bestehens von starken
Indications of the wilful commission of a crime that is punishable by imprisonment for a,"Anzeichen für die vorsätzliche Begehung einer strafbaren Handlung, die mit Freiheitsentzug bestraft werden kann."
"Maximum term of more than three years, the Assembly shall obligatorily authorise that a Member be heard as an official suspect.","Eine maximale Amtszeit von mehr als drei Jahren verpflichtet die Versammlung dazu, einem Mitglied als offiziellen Verdächtigen anzuhören."
3 – In the event that criminal proceedings are brought against a Member of the Assembly of the,"Landtag, the President of the Landtag shall convene a special session of the Assembly to determine whether the Member should be suspended or expelled from the Assembly."
"Republic and he is definitively charged, the Assembly shall decide, within the time limit laid down","Republik und er wird definitiv angeklagt, soll die Versammlung innerhalb der festgelegten Frist entscheiden."
"In the Rules of Procedure, whether or not he must be suspended so that the proceedings can take their course, as follows: a) When the crime is of the type referred to in paragraph (1), suspension is obligatory;","In der Geschäftsordnung wird festgelegt, ob er suspendiert werden muss, damit das Verfahren seinen Gang nehmen kann, wie folgt: a) Wenn das Verbrechen die in Absatz (1) genannte Art betrifft, ist die Suspension verpflichtend;"
"B) The Assembly may limit the Member of the Assembly of the Republic's suspension to the time which, under the circumstances, it deems most appropriate to both the","B) Die Versammlung kann die Aussetzung des Mitglieds der Versammlung der Republik auf die Zeit begrenzen, die sie unter den gegebenen Umständen als am angemessensten für beide Parteien erachtet."
Exercise of his mandate and the furtherance of the criminal proceedings.,Ausübung seines Mandats und Förderung des Strafverfahrens.
"4 – A charge shall become definitive, whereupon the procedural acts shall be pursued up until the trial hearing:","4 - Eine Anklage wird endgültig, woraufhin die Verfahrenshandlungen bis zur Gerichtsverhandlung fortgesetzt werden sollen."
"A) When, in the event of the intervention of an examining judge, the latter confirms the","decision of the investigating judge, the person concerned may appeal against this decision before the investigating judge's superior."
"Charge brought by the Public Prosecutors' Office and the decision is not challenged or,",Anklage durch die Staatsanwaltschaft und das Urteil wird nicht angefochten oder.
"In the event of an appeal, it is maintained by the higher court;",Im Falle einer Berufung wird sie von dem übergeordneten Gericht aufrechterhalten.
B) Once the decision to indict has transited in rem judicatam due to facts that differ from,"B) Sobald die Entscheidung zur Anklage wegen Tatsachen, die sich von"
Those set out in the charge brought by the Public Prosecutors' Office;,"Diejenigen, die in der Anklage der Staatsanwaltschaft genannt werden;"
"C) In the event that there are no committal proceedings, once the trial judge has issued the curative ruling;","C) Falls keine Verfahren zur Verpflichtung vorliegen, sobald der Richter das heilende Urteil erlassen hat;"
"D) In cases involving summary proceedings, once the Public Prosecutors' Office has","D) In Fällen von summarischen Verfahren, sobald die Staatsanwaltschaft"
Requested the imposition of a sanction.,Die Verhängung einer Sanktion wurde beantragt.
5 – The competent judge shall submit the authorisation request referred to in the previous paragraphs in the form of a document addressed to the President of the Assembly of the,5 - Der zuständige Richter stellt den Genehmigungsantrag gemäß den vorherigen Absätzen in Form eines Schreibens an den Präsidenten der Versammlung.
"Republic, and the request shall not lapse at the end of the legislature if the Member in question is elected for a new term of office.","Republik, und der Antrag verfällt nicht am Ende der Legislaturperiode, wenn das betreffende Mitglied für eine neue Amtszeit gewählt wird."
"6 – The decisions to which this Article refers shall be taken by the Plenary, which shall first hear the Member of the Assembly of the Republic involved and consider a formal written opinion","6 - Die in diesem Artikel genannten Entscheidungen werden vom Plenum getroffen, das zunächst das betroffene Mitglied der Versammlung der Republik hören und eine formelle schriftliche Stellungnahme berücksichtigen wird."
From the committee with competence for the matter in question.,Vom Ausschuss mit Zuständigkeit für die Angelegenheit in Frage.
6 7 – The time limit for the prescription of the criminal proceedings shall be suspended when the,"6 7 - Die Verjährungsfrist für das Strafverfahren wird ausgesetzt, wenn die"
Authorisation request made by the competent judge is submitted to the Assembly of the,"Anträge auf Genehmigung, die vom zuständigen Richter gestellt werden, werden der Versammlung des..."
"Republic, in accordance with and for the purposes of Article 120 (1) (a) of the penal Code; if the","Republik, in Übereinstimmung mit und zu den Zwecken des Artikels 120 (1) (a) des Strafgesetzbuches; wenn der"
"Assembly decides not to lift the Member's immunity, the suspension shall remain in effect for","Die Versammlung entscheidet, die Immunität des Mitglieds nicht aufzuheben, die Suspendierung bleibt in Kraft."
As long as he is entitled to the prerogative.,Solange er Anspruch auf das Vorrecht hat.
Chapter III,Kapitel III
Conditions under which mandates are exercised,"Bedingungen, unter denen Mandate ausgeübt werden"
Article 12 conditions under which the function of Member of the Assembly of the Republic is exercised,"Artikel 12 Bedingungen, unter denen die Funktion des Mitglieds der Versammlung der Republik ausgeübt wird"
1 – Members of the Assembly of the Republic shall exercise their mandate freely and shall be,1 - Die Mitglieder der Nationalversammlung sollen ihr Mandat frei ausüben und sollen es
"Ensured the conditions appropriate to the effective exercise of their functions, particularly with regard to the indispensable contact with registered electors, and to being informed regularly.","Sichergestellt wurden die Bedingungen, die für die wirksame Ausübung ihrer Funktionen erforderlich sind, insbesondere im Hinblick auf den unverzichtbaren Kontakt mit registrierten Wählern und regelmäßige Information."
"2 – Each Member of the Assembly of the Republic has the right to appropriate working conditions, particularly:","2 - Jedes Mitglied der Nationalversammlung hat das Recht auf angemessene Arbeitsbedingungen, insbesondere:"
A) his own individualised office at the seat of the Assembly of the Republic;,A) sein eigenes individualisiertes Büro am Sitz der Versammlung der Republik;
"B) An individual assistant, to be recruited as laid down by law;","B) Ein individueller Assistent, der gemäß den gesetzlichen Bestimmungen rekrutiert werden soll;"
C) a dedicated electronic mailbox;,C) ein dediziertes elektronisches Postfach;
D) An individual page on the Assembly of the Republic's website.,D) Eine einzelne Seite auf der Website der Versammlung der Republik.
"3 – Every public entity is subject to the general duty of cooperation with Members of the assembly of the Republic, both in the exercise of their functions and because of them.","3 - Jede öffentliche Einrichtung unterliegt der allgemeinen Pflicht zur Zusammenarbeit mit den Mitgliedern der Versammlung der Republik, sowohl in der Ausübung ihrer Funktionen als auch aufgrund von ihnen."
4 – Departments and services that belong to or are dependent on the central administration,"4 - Abteilungen und Dienste, die zur zentralen Verwaltung gehören oder von ihr abhängig sind."
"Must furnish Members of the Assembly of the Republic with the conditions required for the exercise of their mandates, particularly by supplying such items, information and official","Müssen den Mitgliedern der Versammlung der Republik die für die Ausübung ihrer Mandate erforderlichen Bedingungen zur Verfügung stellen, insbesondere durch Bereitstellung von Gegenständen, Informationen und offiziellen Unterlagen."
"Publications as are requested and, whenever possible, by providing facilities for working meetings, on condition that this does not affect the operation of the department or service itself.","Publikationen werden auf Anfrage erstellt und, wenn möglich, durch Bereitstellung von Räumlichkeiten für Arbeitstreffen, unter der Bedingung, dass dies den Betrieb der Abteilung oder des Dienstes nicht beeinträchtigt."
"5 – When so asked by Members of the Assembly of the Republic, civil governments must provide","5 - Wenn so von Mitgliedern der Nationalversammlung gefragt, müssen Zivilregierungen Informationen bereitstellen."
Appropriate facilities that enable the Members to have direct contact with the media and with the citizens from their constituencies.,"Geeignete Einrichtungen, die es den Mitgliedern ermöglichen, direkten Kontakt mit den Medien und den Bürgern aus ihren Wahlkreisen zu haben."
6 – In the exercise of their functions Members of the Assembly of the Republic have the right to,6 - Bei der Ausübung ihrer Funktionen haben die Mitglieder der Versammlung der Republik das Recht auf
"Use postal services and telecommunications systems free of charge, as well as to the use of the","Nutzung von Postdiensten und Telekommunikationssystemen kostenlos, sowie zur Nutzung der"
Parliamentary it network and other electronic information networks.,Parlamentarisches IT-Netzwerk und andere elektronische Informationsnetzwerke.
"7 – Members of the Assembly of the Republic shall be ensured the use of toll ‐ free lines,",7 - Mitgliedern der Nationalversammlung wird die Nutzung gebührenfreier Telefonleitungen garantiert.
Automatic information systems and other forms of publicising their parliamentary activities and,Automatische Informationssysteme und andere Formen der Veröffentlichung ihrer parlamentarischen Aktivitäten
"Contacting electors, both at the central level and in their constituencies.",Den Kontakt zu Wahlmännern sowohl auf zentraler Ebene als auch in ihren Wahlkreisen herstellen.
8 – The terms and conditions governing the use of each means of communication shall be set by the competent organs of the Assembly of the Republic.,8 - Die Bedingungen für die Nutzung jedes Kommunikationsmittels werden von den zuständigen Organen der Versammlung der Republik festgelegt.
7,7
Article 13 compensation for damages,Artikel 13 Entschädigung für Schäden
"1 – Members of the Assembly of the Republic who, in the exercise of their functions or because","1 - Mitglieder der Nationalversammlung, die in Ausübung ihrer Funktionen oder aufgrund"
"Of them, are victims of acts that imply an offence against their life, physical or moral integrity, freedom or assets have the right to fair compensation.","Von ihnen haben Opfer von Handlungen, die eine Straftat gegen ihr Leben, ihre körperliche oder moralische Unversehrtheit, ihre Freiheit oder ihre Vermögenswerte implizieren, das Recht auf angemessene Entschädigung."
2 – The facts which justify that compensation shall be the object of an inquiry to be ordered by,"2 - Die Tatsachen, die rechtfertigen, dass eine Entschädigung Gegenstand einer Untersuchung ist, die angeordnet werden soll."
"The President of the Assembly of the Republic, who shall decide whether to award the compensation and the amount thereof, save if and to the extent that the damages are covered by other means.","Der Präsident der Versammlung der Republik, der entscheiden wird, ob und in welcher Höhe eine Entschädigung gewährt wird, es sei denn, die Schäden werden durch andere Mittel abgedeckt."
Article 14 duties of Members of the Assembly of the Republic,Artikel 14 Pflichten der Mitglieder der Versammlung der Republik
1 – Members of the Assembly of the Republic have the following duties:,1 - Die Mitglieder der Versammlung der Republik haben folgende Pflichten:
"A) To take part in parliamentary work, and particularly to attend Plenary sittings and",An der parlamentarischen Arbeit teilzunehmen und insbesondere an den Plenarsitzungen teilzunehmen
Meetings of the committees to which they belong;,"Sitzungen der Ausschüsse, zu denen sie gehören;"
B) To perform the offices in the Assembly and the functions that they are elected or appointed to at the proposal of the respective parliamentary groups;,"B) Die Ämter in der Versammlung ausüben und die Funktionen, zu denen sie auf Vorschlag der jeweiligen parlamentarischen Gruppen gewählt oder ernannt wurden, ausführen."
C) To take part in voting;,An der Abstimmung teilnehmen;
D) To ensure the indispensable contact with registered electors;,D) Um den unverzichtbaren Kontakt mit registrierten Wählern sicherzustellen;
E) To respect the dignity of the Assembly of the Republic and its Members;,E) Die Würde der Versammlung der Republik und ihrer Mitglieder zu respektieren;
F) To comply with the Rules of Procedure of the Assembly of the Republic.,Um die Geschäftsordnung der Versammlung der Republik einzuhalten.
"2 – The exercise of any other activities, when legally permissible, may not prejudice the regular","2 - Die Ausübung anderer Tätigkeiten, wenn gesetzlich zulässig, darf die regelmäßige beeinträchtigen."
Fulfilment of the duties provided for in the previous paragraph.,Erfüllung der in dem vorherigen Absatz vorgesehenen Pflichten.
Article 15 rights of Members of the Assembly of the Republic,Artikel 15 Rechte der Mitglieder der Versammlung der Republik
"1 – Members of the Assembly of the Republic's absences from official acts or procedures unrelated to the Assembly, due to Assembly sittings, meetings or missions, shall be sufficient","1 - Die Abwesenheit der Mitglieder der Versammlung der Republik von offiziellen Handlungen oder Verfahren, die nicht mit der Versammlung zusammenhängen, aufgrund von Versammlungen, Sitzungen oder Missionen der Versammlung, ist ausreichend."
"Reason to postpone the said acts or procedures without cost to the Members, but these grounds","Grund zur Verschiebung der genannten Handlungen oder Verfahren ohne Kosten für die Mitglieder, aber diese Gründe."
May not be invoked more than once in relation to each act or procedure.,Darf im Zusammenhang mit jeder Handlung oder jedem Verfahren nicht mehr als einmal in Anspruch genommen werden.
