English,French
"3 – Without prejudice to the provisions of Article 11 (3) (b), no Member of the Assembly of the","3 - Sans préjudice des dispositions de l'article 11 (3) (b), aucun membre de l'Assemblée de"
Republic may return before the end of the fifty days provided for in Article 5 (5).,La République peut revenir avant la fin des cinquante jours prévus à l'article 5 (5).
Article 7 resignation of seat,Article 7 démission de siège
1 – Members of the Assembly of the Republic may resign their seat by means of a written,1 - Les membres de l'Assemblée de la République peuvent démissionner de leur siège par le biais d'une démission écrite
"Declaration, which shall be submitted to the President of the Assembly either in person, or bearing a notarised signature.","Déclaration, qui doit être soumise au Président de l'Assemblée soit en personne, soit portant une signature notariée."
2 – No resignation request shall be processed until the leader of the respective parliamentary,2 - Aucune demande de démission ne sera traitée tant que le chef du parti parlementaire respectif ne l'aura pas approuvée.
"Group, when one exists, has first been notified of it.","Le groupe, lorsqu'il existe, en a d'abord été informé."
3 – Without prejudice to their subsequent publication in the Journal of the Assembly of the,3 - Sans préjudice de leur publication ultérieure dans le Journal de l'Assemblée de
"Republic, resignations shall take effect when the Bureau announces them to the Plenary.","République, les démissions prendront effet lorsque le Bureau les annoncera à la Plénière."
Article 8,Article 8
Loss of seat 1 – Members of the Assembly of the Republic shall lose their seat when:,Perte du siège 1 - Les membres de l'Assemblée de la République perdront leur siège lorsque:
A) They become subject to any of the disqualifications or incompatibilities provided for,Ils deviennent sujets à l'une des disqualifications ou incompatibilités prévues.
"By law, even when due to facts that arose prior to their election; and the Assembly of","Par la loi, même en cas de faits survenus avant leur élection; et l'Assemblée de"
The Republic may not reassess facts which have been the object of a judicial ruling that has already transited in rem judicatam or of an earlier decision by the Assembly itself;,La République ne peut pas réévaluer les faits qui ont fait l'objet d'une décision judiciaire ayant déjà transité en chose jugée ou d'une décision antérieure de l'Assemblée elle-même.
"4 b) They do not take up their seat in the Assembly of the Republic, or they exceed the permitted number of failures to attend, except for reasons that are justified under the terms of paragraph (2) and in accordance with the Rules of Procedure; C) They register as members of a political party other than that for which they stood for election; d) They are judicially convicted of participating in organisations that possess a racist or fascist ideology.","4 b) Ils ne prennent pas leur siège à l'Assemblée de la République, ou ils dépassent le nombre autorisé de manquements à la présence, sauf pour des raisons justifiées dans les termes du paragraphe (2) et conformément au Règlement intérieur; c) Ils s'inscrivent comme membres d'un parti politique autre que celui pour lequel ils se sont présentés aux élections; d) Ils sont condamnés judiciairement pour avoir participé à des organisations possédant une idéologie raciste ou fasciste."
"2 – Illness, marriage, maternity or paternity, mourning, force majeure, parliamentary missions or work, and political work or work pertaining to the political party to which the Member of the assembly of the Republic in question belongs, as well as participation in parliamentary activities, in accordance with the Rules of Procedure, shall be deemed justified reasons.","2 - Maladie, mariage, maternité ou paternité, deuil, force majeure, missions parlementaires ou travail, et travail politique ou travail lié au parti politique auquel le membre de l'assemblée de la République en question appartient, ainsi que la participation aux activités parlementaires, conformément au Règlement intérieur, seront considérés comme des raisons justifiées."
3 – Any Member of the Assembly of the Republic who is present at a sitting or meeting and invokes duly substantiated reasons of conscience shall be deemed justified in not taking part in voting.,3 - Tout membre de l'Assemblée de la République qui est présent lors d'une séance ou d'une réunion et invoque des raisons de conscience dûment motivées sera réputé justifié de ne pas participer au vote.
4 – Transport difficulties may be deemed justification for failures to attend in exceptional cases.,4 - Les difficultés de transport peuvent être considérées comme justifiant les absences dans des cas exceptionnels.
5 – In the applicable cases set out in Article 20 and if the Member of the Assembly of the Republic,5 - Dans les cas applicables prévus à l'article 20 et si le membre de l'Assemblée de la République
"In question does not comply with the provisions of Article 21 (7), failure to suspend his term of office in accordance with Article 4 shall cause the loss of his seat in accordance with Article","En cas de non-respect des dispositions de l'article 21 (7), le fait de ne pas suspendre son mandat conformément à l'article 4 entraînera la perte de son siège conformément à l'article."
160 (1) (a) of the Constitution.,160 (1) (a) de la Constitution.
The loss of seat shall be declared following verification by the,La perte de siège doit être déclarée après vérification par le
"Assembly of the Republic, in accordance with the Rules of Procedure.","Assemblée de la République, conformément au Règlement intérieur."
Article 9 substitution of Members of the Assembly of the Republic,Article 9 substitution des membres de l'Assemblée de la République
"1 – In cases in which a Member of the Assembly of the Republic's seat falls vacant or his term of office is suspended, he shall be substituted by the candidate who occupied the highest position","1 - Dans les cas où le siège d'un membre de l'Assemblée de la République devient vacant ou que son mandat est suspendu, il sera remplacé par le candidat ayant occupé la position la plus élevée."
On the same electoral list and was not elected.,Sur la même liste électorale et n'a pas été élu.
"2 – In the event that the candidate who is called upon to take up the functions of Member of the Assembly of the Republic is temporarily unable to do so, the candidate who occupied the","2 - Dans le cas où le candidat appelé à exercer les fonctions de membre de l'Assemblée de la République est temporairement incapable de le faire, le candidat qui occupait le"
Next ‐ highest position on the same electoral list shall take over his position.,Le candidat suivant sur la même liste électorale prendra sa place.
"3 – Once the inability has ended, the candidate shall once again take up his original position on the list for the purpose of future substitutions.","3 - Une fois que l'incapacité a pris fin, le candidat reprendra sa position d'origine sur la liste dans le but de futures substitutions."
"4 – If there are no longer any unelected effective or substitute candidates on the list of the Member of the Assembly of the Republic who is to be substituted, no substitution shall take place.","4 - Si aucun candidat non élu efficace ou suppléant ne figure plus sur la liste du membre de l'Assemblée de la République qui doit être remplacé, aucune substitution n'aura lieu."
"5 – Both the substitution provided for by this Article, and the recognition of the temporary",5 - Tant la substitution prévue par cet article que la reconnaissance du temporaire
"Inability on the part of an unelected candidate and of the end thereof, shall be subject to the","Incapacité de la part d'un candidat non élu et de la fin de celui-ci, sera soumise à"
"Issue of a request by the leadership of the Member of the Assembly of the Republic's parliamentary group, when one exists, or by the candidate with the right to fill the vacant seat.","Émission d'une demande par le leadership du groupe parlementaire du membre de l'Assemblée de la République, s'il existe, ou par le candidat ayant le droit de remplir le siège vacant."
5 Chapter II immunities,5 Chapitre II immunités
Article 10 non ‐ liability members of the Assembly of the Republic are not civilly or criminally liable for or subject to disciplinary sanctions in relation to their votes or the opinions they express in the exercise of,"Article 10: les membres de l'Assemblée de la République ne sont pas responsables civilement ou pénalement, ni soumis à des sanctions disciplinaires concernant leurs votes ou les opinions qu'ils expriment dans l'exercice de leurs fonctions."
Their functions or because of them.,Leurs fonctions ou à cause d'eux.
Article 11 inviolability,Article 11 inviolabilité
"1 – No Member of the Assembly of the Republic may be detained, arrested or imprisoned","1 - Aucun membre de l'Assemblée de la République ne peut être détenu, arrêté ou emprisonné."
"Without the Assembly's authorisation, save for a wilful crime which is punishable by imprisonment for a maximum term of more than three years and in flagrante delicto.","Sans l'autorisation de l'Assemblée, sauf pour un crime intentionnel passible d'une peine d'emprisonnement maximale de plus de trois ans et commis en flagrant délit."
2 – Members of the Assembly of the Republic may not be heard as makers of declarations or,2 - Les membres de l'Assemblée de la République ne peuvent pas être entendus en tant que auteurs de déclarations ou
Official suspects without the Assembly's authorisation.,Suspects officiels sans l'autorisation de l'Assemblée.
In the event of the existence of strong,Dans le cas de l'existence de forts
Indications of the wilful commission of a crime that is punishable by imprisonment for a,Indications de la commission délibérée d'un crime passible d'emprisonnement pour une
"Maximum term of more than three years, the Assembly shall obligatorily authorise that a Member be heard as an official suspect.","Terme maximum de plus de trois ans, l'Assemblée devra obligatoirement autoriser qu'un membre soit entendu en tant que suspect officiel."
3 – In the event that criminal proceedings are brought against a Member of the Assembly of the,3 - Dans le cas où des poursuites pénales seraient engagées contre un membre de l'Assemblée de
"Republic and he is definitively charged, the Assembly shall decide, within the time limit laid down","République et il est définitivement inculpé, l'Assemblée décidera, dans le délai imparti"
"In the Rules of Procedure, whether or not he must be suspended so that the proceedings can take their course, as follows: a) When the crime is of the type referred to in paragraph (1), suspension is obligatory;","Dans le Règlement intérieur, qu'il soit obligé ou non d'être suspendu afin que la procédure puisse suivre son cours, comme suit : a) Lorsque le crime est du type mentionné au paragraphe (1), la suspension est obligatoire."
"B) The Assembly may limit the Member of the Assembly of the Republic's suspension to the time which, under the circumstances, it deems most appropriate to both the",B) L'Assemblée peut limiter la suspension du membre de l'Assemblée de la République au temps qu'elle estime le plus approprié aux circonstances et aux deux parties.
Exercise of his mandate and the furtherance of the criminal proceedings.,Exercice de son mandat et la poursuite des procédures criminelles.
"4 – A charge shall become definitive, whereupon the procedural acts shall be pursued up until the trial hearing:","4 - Une accusation deviendra définitive, à partir de ce moment les actes de procédure seront poursuivis jusqu'à l'audience de jugement."
"A) When, in the event of the intervention of an examining judge, the latter confirms the","A) Lorsque, en cas d'intervention d'un juge d'instruction, ce dernier confirme"
"Charge brought by the Public Prosecutors' Office and the decision is not challenged or,","Accusation portée par le Parquet et la décision n'est pas contestée ou,"
"In the event of an appeal, it is maintained by the higher court;","En cas d'appel, il est maintenu par la cour supérieure."
B) Once the decision to indict has transited in rem judicatam due to facts that differ from,B) Une fois que la décision d'inculper a transité en force de chose jugée en raison de faits différents.
Those set out in the charge brought by the Public Prosecutors' Office;,Ceux mentionnés dans l'accusation portée par le bureau des procureurs publics;
"C) In the event that there are no committal proceedings, once the trial judge has issued the curative ruling;","C) Dans le cas où il n'y a pas de procédures d'engagement, une fois que le juge de première instance a émis la décision corrective;"
"D) In cases involving summary proceedings, once the Public Prosecutors' Office has","D) Dans les affaires impliquant des procédures sommaires, une fois que le bureau du procureur public a"
Requested the imposition of a sanction.,Demandé l'imposition d'une sanction.
5 – The competent judge shall submit the authorisation request referred to in the previous paragraphs in the form of a document addressed to the President of the Assembly of the,5 - Le juge compétent soumettra la demande d'autorisation mentionnée dans les paragraphes précédents sous la forme d'un document adressé au Président de l'Assemblée.
"Republic, and the request shall not lapse at the end of the legislature if the Member in question is elected for a new term of office.","République, et la demande ne sera pas caduque à la fin de la législature si le Membre en question est élu pour un nouveau mandat."
"6 – The decisions to which this Article refers shall be taken by the Plenary, which shall first hear the Member of the Assembly of the Republic involved and consider a formal written opinion","6 - Les décisions auxquelles cet article fait référence seront prises par le Plénum, qui entendra d'abord le membre de l'Assemblée de la République concerné et examinera un avis écrit formel."
From the committee with competence for the matter in question.,Du comité compétent pour la question en cours.
6 7 – The time limit for the prescription of the criminal proceedings shall be suspended when the,6 7 - Le délai de prescription de l'action publique est suspendu lorsque
Authorisation request made by the competent judge is submitted to the Assembly of the,La demande d'autorisation faite par le juge compétent est soumise à l'Assemblée de la
"Republic, in accordance with and for the purposes of Article 120 (1) (a) of the penal Code; if the","République, conformément à l'article 120 (1) (a) du Code pénal; si le"
"Assembly decides not to lift the Member's immunity, the suspension shall remain in effect for","L'Assemblée décide de ne pas lever l'immunité du membre, la suspension restera en vigueur pour"
As long as he is entitled to the prerogative.,Tant qu'il a droit à la prérogative.
Chapter III,Chapitre III
Conditions under which mandates are exercised,Les conditions dans lesquelles les mandats sont exercés
Article 12 conditions under which the function of Member of the Assembly of the Republic is exercised,Article 12 conditions dans lesquelles la fonction de membre de l'Assemblée de la République est exercée
1 – Members of the Assembly of the Republic shall exercise their mandate freely and shall be,1 - Les membres de l'Assemblée de la République exerceront leur mandat librement et seront
"Ensured the conditions appropriate to the effective exercise of their functions, particularly with regard to the indispensable contact with registered electors, and to being informed regularly.","Assuré des conditions appropriées pour l'exercice efficace de leurs fonctions, notamment en ce qui concerne le contact indispensable avec les électeurs inscrits, et en étant régulièrement informés."
"2 – Each Member of the Assembly of the Republic has the right to appropriate working conditions, particularly:","2 - Chaque membre de l'Assemblée de la République a le droit à des conditions de travail appropriées, notamment :"
A) his own individualised office at the seat of the Assembly of the Republic;,son propre bureau personnalisé au siège de l'Assemblée de la République;
"B) An individual assistant, to be recruited as laid down by law;","B) Un assistant individuel, à recruter conformément à la loi;"
C) a dedicated electronic mailbox;,C) une boîte de réception électronique dédiée;
D) An individual page on the Assembly of the Republic's website.,D) Une page individuelle sur le site web de l'Assemblée de la République.
"3 – Every public entity is subject to the general duty of cooperation with Members of the assembly of the Republic, both in the exercise of their functions and because of them.","3 - Chaque entité publique est soumise au devoir général de coopération avec les membres de l'assemblée de la République, à la fois dans l'exercice de leurs fonctions et en raison d'elles."
4 – Departments and services that belong to or are dependent on the central administration,4 - Départements et services qui appartiennent à ou dépendent de l'administration centrale
"Must furnish Members of the Assembly of the Republic with the conditions required for the exercise of their mandates, particularly by supplying such items, information and official","Il faut fournir aux membres de l'Assemblée de la République les conditions nécessaires pour l'exercice de leurs mandats, notamment en leur fournissant des articles, des informations et des documents officiels."
"Publications as are requested and, whenever possible, by providing facilities for working meetings, on condition that this does not affect the operation of the department or service itself.","Les publications sont demandées et, lorsque possible, en fournissant des installations pour des réunions de travail, à condition que cela n'affecte pas le fonctionnement du département ou du service lui-même."
"5 – When so asked by Members of the Assembly of the Republic, civil governments must provide","5 - Lorsqu'ils en sont ainsi priés par les membres de l'Assemblée de la République, les gouvernements civils doivent fournir"
Appropriate facilities that enable the Members to have direct contact with the media and with the citizens from their constituencies.,Installations appropriées permettant aux membres d'avoir un contact direct avec les médias et les citoyens de leur circonscription.
6 – In the exercise of their functions Members of the Assembly of the Republic have the right to,"6 - Dans l'exercice de leurs fonctions, les membres de l'Assemblée de la République ont le droit de"
"Use postal services and telecommunications systems free of charge, as well as to the use of the","Utilisez les services postaux et les systèmes de télécommunication gratuitement, ainsi que pour l'utilisation de la"
Parliamentary it network and other electronic information networks.,Réseau parlementaire et autres réseaux d'information électronique.
"7 – Members of the Assembly of the Republic shall be ensured the use of toll ‐ free lines,",7 - Les membres de l'Assemblée de la République auront l'assurance de pouvoir utiliser des lignes téléphoniques sans frais.
Automatic information systems and other forms of publicising their parliamentary activities and,Systèmes d'information automatiques et autres formes de publicité de leurs activités parlementaires.
"Contacting electors, both at the central level and in their constituencies.","Contacter les électeurs, à la fois au niveau central et dans leurs circonscriptions."
8 – The terms and conditions governing the use of each means of communication shall be set by the competent organs of the Assembly of the Republic.,8 - Les termes et conditions régissant l'utilisation de chaque moyen de communication seront déterminés par les organes compétents de l'Assemblée de la République.
7,7
Article 13 compensation for damages,Article 13 compensation des dommages
"1 – Members of the Assembly of the Republic who, in the exercise of their functions or because","1 - Les membres de l'Assemblée de la République qui, dans l'exercice de leurs fonctions ou parce"
"Of them, are victims of acts that imply an offence against their life, physical or moral integrity, freedom or assets have the right to fair compensation.","Parmi eux, les victimes d'actes impliquant une infraction contre leur vie, leur intégrité physique ou morale, leur liberté ou leurs biens ont le droit à une juste compensation."
2 – The facts which justify that compensation shall be the object of an inquiry to be ordered by,2 - Les faits qui justifient que la compensation fasse l'objet d'une enquête à ordonner par
"The President of the Assembly of the Republic, who shall decide whether to award the compensation and the amount thereof, save if and to the extent that the damages are covered by other means.","Le Président de l'Assemblée de la République, qui décidera s'il convient d'accorder une indemnisation et son montant, sauf si et dans la mesure où les dommages sont couverts par d'autres moyens."
Article 14 duties of Members of the Assembly of the Republic,Article 14 obligations des membres de l'Assemblée de la République
1 – Members of the Assembly of the Republic have the following duties:,1 - Les membres de l'Assemblée de la République ont les devoirs suivants:
"A) To take part in parliamentary work, and particularly to attend Plenary sittings and","A) Pour participer aux travaux parlementaires, et en particulier assister aux séances plénières et"
Meetings of the committees to which they belong;,Réunions des comités auxquels ils appartiennent;
B) To perform the offices in the Assembly and the functions that they are elected or appointed to at the proposal of the respective parliamentary groups;,B) Pour exercer les fonctions dans l'Assemblée et les fonctions pour lesquelles ils sont élus ou nommés sur proposition des groupes parlementaires respectifs;
C) To take part in voting;,C) Participer au vote;
D) To ensure the indispensable contact with registered electors;,D) Pour garantir le contact indispensable avec les électeurs inscrits;
E) To respect the dignity of the Assembly of the Republic and its Members;,E) Respecter la dignité de l'Assemblée de la République et de ses membres;
F) To comply with the Rules of Procedure of the Assembly of the Republic.,F) Se conformer au Règlement de l'Assemblée de la République.
"2 – The exercise of any other activities, when legally permissible, may not prejudice the regular","2 - L'exercice de toute autre activité, lorsque légalement permis, ne doit pas préjudicier à la régularité"
Fulfilment of the duties provided for in the previous paragraph.,Accomplissement des devoirs prévus dans le paragraphe précédent.
Article 15 rights of Members of the Assembly of the Republic,Article 15 droits des membres de l'Assemblée de la République
"1 – Members of the Assembly of the Republic's absences from official acts or procedures unrelated to the Assembly, due to Assembly sittings, meetings or missions, shall be sufficient","1 - Les absences des membres de l'Assemblée de la République des actes officiels ou des procédures non liées à l'Assemblée, en raison des séances de l'Assemblée, des réunions ou des missions, seront suffisantes."
"Reason to postpone the said acts or procedures without cost to the Members, but these grounds","Raison de reporter lesdits actes ou procédures sans frais pour les membres, mais ces motifs"
May not be invoked more than once in relation to each act or procedure.,Ne peut être invoqué plus d'une fois par rapport à chaque acte ou procédure.
2 – Members of the Assembly of the Republic who attend any officially recognised course at any level of education shall be subject to the most favourable of all the different regimes with regard,2 - Les membres de l'Assemblée de la République qui assistent à tout cours officiellement reconnu à n'importe quel niveau d'éducation seront soumis au régime le plus favorable parmi tous les différents régimes en ce qui concerne
"To classes, examinations and the taking of other academic and scientific tests that are provided","Aux cours, examens et à la passation d'autres tests académiques et scientifiques qui sont proposés"
For in relation to other situations.,Par rapport à d'autres situations.
3 – Members of the Assembly of the Republic also enjoy the following rights:,3 - Les membres de l'Assemblée de la République bénéficient également des droits suivants:
"A) postponement of military service, civic service and civil mobilisation;","A) report du service militaire, du service civique et de la mobilisation civile;"
"B) Free transit, which is deemed to mean free passage in public places to which access is restricted, upon display of the Member of the Assembly of the Republic's identity card;","B) Transit gratuit, ce qui est censé signifier un passage gratuit dans les lieux publics à accès restreint, sur présentation de la carte d'identité du membre de l'Assemblée de la République."
"C) a diplomatic passport per legislature, to be renewed in each legislative session;","C) un passeport diplomatique par législature, à renouveler à chaque session législative;"
"D) a Member of the Assembly of the Republic's identity card, the model for and issue of","D) une carte d'identité de membre de l'Assemblée de la République, le modèle et l'émission de"
Which shall be determined by order of the President of the Assembly; 11 11 The model and issuance of the Member of the Assembly of the Republic's identity card were laid down in Order no.,Qui sera déterminé par ordre du Président de l'Assemblée; Le modèle et la délivrance de la carte d'identité du membre de l'Assemblée de la République ont été établis dans l'ordre numéro.
"94/XI of the President of the Assembly of the Republic, published in Series II ‐ e of the Journal 8","94/XI du Président de l'Assemblée de la République, publié dans la Série II - e du Journal 8"
E) The remunerations and allowances laid down by law;,E) Les rémunérations et allocations prévues par la loi;
F) The rights provided for in the legislation governing the protection of maternity and,F) Les droits prévus dans la législation régissant la protection de la maternité et
"Paternity; g) The right to use and carry a firearm, in accordance with paragraph (7);","Paternité; g) Le droit d'utiliser et de porter une arme à feu, conformément au paragraphe (7);"
H) Priority in reservations for travel on public air transport companies during periods in,H) Priorité dans les réservations pour les voyages sur les compagnies de transport aérien public pendant les périodes en
"Which the Assembly is in full session, or for reasons related to the performance of their",Quand l'Assemblée est en séance plénière ou pour des raisons liées à l'exécution de leurs
Mandate.,Mandat.
4 – In addition to the Member of the Assembly of the Republic's name and signature and the,4 - En plus du nom et de la signature du Membre de l'Assemblée de la République et du
"Signature of the President of the Assembly, the Member's identity card shall include the validity","La signature du Président de l'Assemblée, la carte d'identité du membre inclura la validité"
"Date determined by the Member's term of office, together with the number of his national identity card or citizen's card.","Date déterminée par le mandat du membre, ainsi que le numéro de sa carte d'identité nationale ou de sa carte de citoyen."
5 – The integrated circuit of the Member of the Assembly of the Republic's identity card shall,5 - Le circuit intégré de la carte d'identité du Membre de l'Assemblée de la République sera
"Include the software for electronic voting, together with the qualified certificate for electronic signature, and other elements that are indispensable to any new software that may be incorporated into it.","Inclure le logiciel de vote électronique, ainsi que le certificat qualifié de signature électronique, et d'autres éléments indispensables à tout nouveau logiciel qui pourrait y être incorporé."
"6 – When a Member of the Assembly of the Republic's term of office ends or is suspended, his","6 - Lorsqu'un mandat de membre de l'Assemblée de la République prend fin ou est suspendu, son"
Diplomatic passport and Member's identity card must immediately be returned to the President of the Assembly.,Passeport diplomatique et carte d'identité de membre doivent être immédiatement retournés au Président de l'Assemblée.
"7 – For the purposes of the rules governing the possession of, permits for, and the use and carriage of firearms and their munitions, Members of the Assembly of the Republic are subject","7 - Aux fins des règles régissant la possession, les permis et l'utilisation ainsi que le transport des armes à feu et de leurs munitions, les membres de l'Assemblée de la République sont soumis"
To the provisions of Article 5 of Law no.,Aux dispositions de l'article 5 de la loi n°.
5/2006 of 23 February 2006.,5/2006 du 23 février 2006.
"Article 16 allowances 1 – In the exercise of their functions and because of them, Members of the Assembly of the","Article 16 allocations 1 - Dans l'exercice de leurs fonctions et en raison de celles-ci, les membres de l'Assemblée de"
Republic have the right to the following allowances:,La République a le droit aux allocations suivantes:
